Zeitstempel,What is your gender?,How old are you? (please enter the years),What is your highest level of education?,Where are you from?,What did you study?,For how many semesters did you study?,Do you like the area/field of your study program?,"If you were not satisfied, after how many semesters did you realise that you dislike the program?",Were your expectations regarding the study program met?,Did you finish the degree?,Did you ever wish you would have studied something else?,What was your motivation to study this program? (multiple answers possible),Did you study during the pandemic?,"With your current knowledge, would you choose your program again?",Is your work related to what you studied?,How old were you when you started to study? (please enter the years),How many years before starting university did you decide what to study?,Were you convinced by your choice when you started to study?,What would have helped you in the decision-making process? (multiple answers possible)
16.05.2022 18:32:06,Female,22,Bachelor’s or equivalent level,Indonesia,Business/Management/Economics,6,2,4,3,Yes,"Yes, already while studying","Peer pressure, Money, Did not know what else to do","Yes, I graduated during the pandemic","No, I would study something else",No,19,1,6,"More guidance/support from school, More guidance/support from parents/family, Better orientation offers from university"
16.05.2022 18:50:12,Female,25,Bachelor’s or equivalent level,Moldova,Business/Management/Economics,7,7,3,7,Yes,"Yes, already while studying","Interest in the field, Limited Possibilities, Advise from friends/family","Yes, I graduated during the pandemic","No, I would study something else",I am still a student/just graduated,20,3,7,"Work/internship before going to university, Better orientation offers from university"
16.05.2022 18:53:32,Female,25,Master’s or equivalent level,Germany,Medicine/Psychology,10,9,6,9,Yes,No,Interest in the field,"Yes, I graduated during the pandemic","No, I would study something else",Yes,20,1,10,I did not need any help
16.05.2022 19:00:27,Male,23,Bachelor’s or equivalent level,Azerbaijan,Business/Management/Economics,7,9,7,8,Yes,No,"Interest in the field, Money","Yes, I started during the pandemic","Yes, I would do the same",Yes,20,1,9,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
16.05.2022 19:13:15,Female,24,Bachelor’s or equivalent level,Poland,Business/Management/Economics,6,8,1,5,Yes,No,"Interest in the field, Money, Did not know what else to do","Yes, I started during the pandemic","Yes, I would do the same",Yes,19,1,8,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
16.05.2022 19:15:01,Male,28,Master’s or equivalent level,Iran,Computer Science,5,4,2,1,"No, not yet","Yes, already while studying","Limited Possibilities, Advise from friends/family, Did not know what else to do","Yes, I started during the pandemic","No, I would study something else",I am still a student/just graduated,26,1,3,"More guidance/support from school, More guidance/support from parents/family, Work/internship before going to university"
16.05.2022 19:18:12,Female,27,Master’s or equivalent level,Germany,Business/Management/Economics,12,8,I was satisfied,7,Yes,No,"Interest in the field, Money","Yes, I graduated during the pandemic","Yes, I would do the same",Yes,19,1,4,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
16.05.2022 19:29:18,Female,32,Bachelor’s or equivalent level,Brazil,other,8,8,I was satisfied,6,Yes,"Yes, already while studying","Interest in the field, Did not know what else to do",No,"No, I would study something else",Yes,18,1,1,"More guidance/support from school, More guidance/support from parents/family, Work/internship before going to university, Better orientation offers from university"
16.05.2022 19:43:11,Female,22,Bachelor’s or equivalent level,Germany,Media/Journalism,8,8,I was satisfied,7,Yes,No,Interest in the field,"Yes, I was already studying and I still am","Yes, I would do the same",I am still a student/just graduated,18,1,5,Work/internship before going to university
16.05.2022 19:50:09,Female,25,Master’s or equivalent level,Portugal,Business/Management/Economics,> 20,8,I was satisfied,7,Yes,"Yes, after I graduated","Interest in the field, Advise from friends/family","Yes, I was already studying and I still am","Yes, I would do the same",No,18,1,7,"Work/internship before going to university, Better orientation offers from university"
